"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Alaska,California,Hawaii,Washington","Alaska,Hawaii","Endangered","B00Y","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B00Y","Not Applicable","1997-03-19","Phoebastria albatrus","https://services.itis.gov/?q=tsn:554377","Short-tailed Albatross","Birds","Species","Exact Match","Phoebastria albatrus"
"Alaska,Arizona,Maine,New Hampshire,Oregon,Wyoming","Alaska,Arizona,Colorado,Idaho,Maine,New Hampshire,Oregon,South Dakota,Wyoming",NA,NA,NA,"Secure","1997-01-05","Picoides dorsalis","https://services.itis.gov/?q=tsn:685725","American Three-toed Woodpecker","Birds","Species","Exact Match","Picoides dorsalis"
"Arizona,Texas","California,Texas","Species of Concern","B0ED","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0ED","Secure","1997-03-19","Parabuteo unicinctus","https://services.itis.gov/?q=tsn:175397","Harris' Hawk","Birds","Species","Exact Match","Parabuteo unicinctus"
"Arizona","Colorado",NA,NA,NA,"Secure (breeding)","1997-01-05","Empidonax oberholseri","https://services.itis.gov/?q=tsn:178346","Dusky Flycatcher","Birds","Species","Exact Match","Empidonax oberholseri"
"Arizona,Colorado,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Wyoming","Colorado,Kansas,Minnesota,Montana,Nebraska,North Dakota,Oklahoma,South Dakota,Wyoming",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Calcarius ornatus","https://services.itis.gov/?q=tsn:179530","Chestnut-collared Longspur","Birds","Species","Exact Match","Calcarius ornatus"
"Arizona,New Mexico","New Mexico",NA,NA,NA,"Apparently Secure (breeding)","1997-03-19","Cardellina rubrifrons","https://services.itis.gov/?q=tsn:178970","Red-faced Warbler","Birds","Species","Exact Match","Cardellina rubrifrons"
"Arizona,New Mexico","New Mexico",NA,NA,NA,"Apparently Secure (breeding)","1997-03-19","Myioborus pictus","https://services.itis.gov/?q=tsn:178986","Painted Redstart","Birds","Species","Exact Match","Myioborus pictus"
"California,Montana,Nevada","Alaska,Montana,Nevada",NA,NA,NA,"Secure","1997-01-05","Leucosticte tephrocotis","https://services.itis.gov/?q=tsn:179215","Grey-crowned Rosy Finch","Birds","Species","Exact Match","Leucosticte tephrocotis"
"Arizona","Arizona","Endangered","B00W","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B00W","Possibly Extirpated","1997-03-19","Rhynchopsitta pachyrhyncha","https://services.itis.gov/?q=tsn:177411","Thick-billed Parrot","Birds","Species","Exact Match","Rhynchopsitta pachyrhyncha"
"Arizona","",NA,NA,NA,"Vulnerable","1997-01-05","Peucaea carpalis","https://services.itis.gov/?q=tsn:997731","Rufous-winged Sparrow","Birds","Species","Exact Match","Peucaea carpalis"
"Arizona,Wyoming","Wyoming",NA,NA,NA,"Secure","1996-05-01","Aphelocoma californica","https://services.itis.gov/?q=tsn:554128","Western Scrub-Jay","Birds","Species","Exact Match","Aphelocoma californica"
"Arizona,Colorado,Nevada,Wyoming","Colorado,Montana,Nevada,New Mexico,Oregon,Utah,Washington,Wyoming",NA,NA,NA,"Secure","1997-03-19","Artemisiospiza belli","https://services.itis.gov/?q=tsn:997724","Bell's Sparrow","Birds","Species","Followed Accepted TSN","Amphispiza belli"
"New Mexico","New Mexico",NA,NA,NA,"Apparently Secure","1997-01-05","Phalacrocorax brasilianus","https://services.itis.gov/?q=tsn:554375","Neotropic Cormorant","Birds","Species","Exact Match","Phalacrocorax brasilianus"
"Arizona,Oregon","Oregon,Washington",NA,NA,NA,"Secure","1997-01-05","Melanerpes formicivorus","https://services.itis.gov/?q=tsn:178189","Acorn Woodpecker","Birds","Species","Exact Match","Melanerpes formicivorus"
"Arizona,New Mexico","Colorado,New Mexico,Utah",NA,NA,NA,"Secure (breeding)","1997-01-05","Setophaga nigrescens","https://services.itis.gov/?q=tsn:950057","Black-throated Grey Warbler","Birds","Species","Exact Match","Dendroica nigrescens, Setophaga nigrescens"
"Arizona,Colorado,Nevada,New Mexico,Oregon,Utah,Washington","California,Colorado,Idaho,Montana,Oregon,Texas,Washington",NA,NA,NA,"Apparently Secure (breeding)","1997-03-19","Psiloscops flammeolus","https://services.itis.gov/?q=tsn:1063247","Flammulated Owl","Birds","Species","Followed Accepted TSN","Psiloscops flammeolus, Otus flammeolus"
"Arkansas,California,Connecticut,Delaware,Florida,Hawaii,Indiana,Iowa,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,Rhode Island,South Carolina","Connecticut,Delaware,Hawaii,Maine,Maryland,Massachusetts,Minnesota,New Jersey,New York,Rhode Island,Texas,Virgin Islands",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Arenaria interpres","https://services.itis.gov/?q=tsn:176571","Ruddy Turnstone","Birds","Species","Fuzzy Match","Arenaria interpres [M,W], Arenaria interpres, Aenaria interpres"
"Arizona,Colorado,Kansas,Nebraska,New Mexico,North Dakota,Oklahoma,Texas,Wyoming","Arizona,Colorado,Kansas,Montana,Nebraska,North Dakota,Oklahoma,Texas,Wyoming",NA,NA,NA,"Apparently Secure (breeding), Apparently Secure (non-breeding)","2003-09-03","Rhynchophanes mccownii","https://services.itis.gov/?q=tsn:997873","McCown's Longspur","Birds","Species","Exact Match","Rhynchophanes mccownii , Calcarius mccownii, Rhynchophanes mccownii"
"Arizona,Colorado,Nebraska,Nevada,North Dakota,Wyoming","California,Colorado,Idaho,Montana,Nebraska,Nevada,North Dakota,Oregon,Texas,Utah,Wyoming","Species of Concern","B0HA","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0HA","Secure (breeding), Secure (non-breeding)","1997-01-05","Spizella breweri","https://services.itis.gov/?q=tsn:179440","Brewer's Sparrow","Birds","Species","Exact Match","Spizella breweri"
"Alaska,Arkansas,California,Connecticut,Delaware,Florida,Hawaii,Iowa,Kentucky,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,North Carolina,Rhode Island,South Carolina,Virginia","Alaska,Arkansas,Connecticut,Delaware,Florida,Hawaii,Kentucky,Maine,Maryland,Massachusetts,New Jersey,New York,North Carolina,Rhode Island,South Carolina,Texas,Virgin Islands",NA,NA,NA,"Apparently Secure (breeding), Secure (non-breeding)","1997-03-19","Calidris alba","https://services.itis.gov/?q=tsn:176669","Sanderling","Birds","Species","Exact Match","Calidris alba [M,W], Calidris alba"
"Nebraska,New Mexico,Washington,Wyoming","Colorado,Idaho,Nebraska,Washington,Wyoming",NA,NA,NA,"Secure","1997-01-05","Sitta pygmaea","https://services.itis.gov/?q=tsn:178788","Pygmy Nuthatch","Birds","Species","Exact Match","Sitta pygmaea"
"Alaska,California,Idaho,Oregon,Washington,Wyoming","Alaska,California,Montana,Oregon,Washington,Wyoming",NA,NA,NA,"Apparently Secure","1997-01-05","Strix nebulosa","https://services.itis.gov/?q=tsn:177929","Great Gray Owl","Birds","Species","Exact Match","Strix nebulosi, Strix nebulosa"
"Alaska,California,Connecticut,Delaware,Florida,Iowa,Kentucky,Maine,Maryland,Massachusetts,Nevada,New Hampshire,New Jersey,New Mexico,North Carolina,Pennsylvania,Rhode Island,Tennessee,Virginia,West Virginia","Alaska,California,Connecticut,Delaware,Kentucky,Maryland,New Mexico,Ohio,Rhode Island,Tennessee,Virgin Islands,West Virginia","Species of Concern","B0EW","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0EW","Secure (breeding)","1997-03-19","Riparia riparia","https://services.itis.gov/?q=tsn:178436","Bank Swallow","Birds","Species","Exact Match","Riparia riparia"
"California","California",NA,NA,NA,"Critically Imperiled (breeding)","1997-06-11","Thalasseus elegans","https://services.itis.gov/?q=tsn:176931","Elegant Tern","Birds","Species","Followed Accepted TSN","Thalasseus elegans, Sterna elegans"
"California,Oregon","California,Oregon",NA,NA,NA,"Critically Imperiled (breeding), Vulnerable (non-breeding)","1997-01-05","Pelecanus occidentalis californicus","https://services.itis.gov/?q=tsn:174688","Brown Pelican (California)","Birds","Subspecies","Exact Match","Pelecanus occidentalis californicus"
"Arizona","Arizona,Colorado",NA,NA,NA,"Secure (breeding), Unranked (non-breeding)","1997-01-05","Sphyrapicus nuchalis","https://services.itis.gov/?q=tsn:178211","Red-naped Sapsucker","Birds","Species","Exact Match","Sphyrapicus nuchalis"
"Arizona","",NA,NA,NA,NA,NA,"Aphelocoma ultramarina","https://services.itis.gov/?q=tsn:179707","Gray-breasted Jay","Birds","Species","Exact Match","Aphelocoma ultramarina"
"California,Colorado,Nevada,Oregon,Wyoming","Colorado,Montana,Nevada","Resolved Taxon","B08G","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B08G","Vulnerable","1997-01-05","Tympanuchus phasianellus columbianus","https://services.itis.gov/?q=tsn:175849","Columbian sharp-tailed grouse","Birds","Subspecies","Exact Match","Tympanuchus phasianellus columbianus , Tympanuchus phasianellus columbianus"
"California","Alaska,California,Washington","Species of Concern","B0NA","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0NA","Secure (breeding)","1997-03-19","Chaetura vauxi","https://services.itis.gov/?q=tsn:178002","Vaux's Swift","Birds","Species","Exact Match","Chaetura vauxi"
"California,Colorado,Idaho,Montana,Nevada,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming","California,Colorado,Idaho,Montana,Nebraska,Nevada,North Dakota,Oregon,South Dakota,Utah,Washington,Wyoming","Resolved Taxon","B06W","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B06W","Vulnerable","2010-09-24","Centrocercus urophasianus","https://services.itis.gov/?q=tsn:175855","Greater Sage Grouse","Birds","Species","Exact Match","Centrocercus urophasianus , Centrocercus urophasianus"
"Alabama,California,Delaware,Florida,Georgia,Illinois,Iowa,Louisiana,Massachusetts,Mississippi,New Hampshire,New Jersey,New York,Rhode Island,South Carolina,Tennessee,Texas,Washington","Alaska,Delaware,Georgia,Maine,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Virgin Islands,Virginia,Washington",NA,NA,NA,"Imperiled (breeding), Vulernable (non-breeding)","1997-03-19","Calidris canutus","https://services.itis.gov/?q=tsn:176642","Red Knot","Birds","Species","Exact Match","Calidris canutus [M], Calidris canutus"
"Arizona,California,Colorado,New Mexico","California,Colorado,Nevada,New Mexico,Texas,Utah","Species of Concern","B0G5","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0G5","Secure (breeding)","2015-08-12","Vireo vicinior","https://services.itis.gov/?q=tsn:179008","Gray Vireo","Birds","Species","Exact Match","Vireo vicinior"
"New Mexico","Colorado,Montana,New Mexico","Status Undefined","B0GT","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0GT","Secure","1997-01-05","Lagopus leucura","https://services.itis.gov/?q=tsn:677541","White-tailed Ptarmigan","Birds","Species","Exact Match","Lagopus leucurus, Lagopus leucura"
"New Mexico,Texas","New Mexico,Texas",NA,NA,NA,"Critically Imperiled","1997-02-10","Falco femoralis","https://services.itis.gov/?q=tsn:175610","Aplomado Falcon","Birds","Species","Exact Match","Falco femoralis"
"Arizona,California","California","Species of Concern","B0EI","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0EI","Apparently Secure (breeding)","1997-01-05","Myiarchus tyrannulus","https://services.itis.gov/?q=tsn:178312","Brown-crested Flycatcher","Birds","Species","Exact Match","Myiarchus tyrannulus"
"California","California","Threatened","B08X","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B08X","Unranked","Unknown","Polioptila californica californica","https://services.itis.gov/?q=tsn:925072","coastal California gnatcatcher","Birds","Subspecies","Exact Match","Polioptila californica californica"
"Arizona","New Mexico",NA,NA,NA,"Apparently Secure (breeding)","1997-03-19","Contopus pertinax","https://services.itis.gov/?q=tsn:178356","Greater Pewee","Birds","Species","Exact Match","Contopus pertinax"
"Arizona,Connecticut,Delaware,Florida,Indiana,Kentucky,Maryland,Massachusetts,Missouri,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Wisconsin","Arizona,California,Connecticut,Delaware,Idaho,Illinois,Indiana,Kansas,Kentucky,Maine,Maryland,Missouri,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Virgin Islands,Wisconsin",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Ardea alba","https://services.itis.gov/?q=tsn:554135","Great Egret","Birds","Species","Followed Accepted TSN","Ardea alba, Casmerodius albus"
"Alaska,Arizona,Maryland,South Carolina","Alaska,Arizona,Connecticut,Maryland,Ohio,Rhode Island,South Carolina,Tennessee",NA,NA,NA,"Secure","1997-03-19","Regulus satrapa","https://services.itis.gov/?q=tsn:179865","Golden-crowned Kinglet","Birds","Species","Exact Match","Regulus satrapa"
"Alaska,Maine,Michigan,Minnesota,Oregon,South Dakota,Vermont,Wisconsin,Wyoming","Alaska,Michigan,Minnesota,Montana,Oregon,South Dakota,Vermont,Washington,Wisconsin,Wyoming","Resolved Taxon","B0F5","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0F5","Apparently Secure","1997-03-19","Picoides arcticus","https://services.itis.gov/?q=tsn:178250","Black-backed Woodpecker","Birds","Species","Exact Match","Picoides arcticus"
"California","California,Nevada,Texas,Utah","Species of Concern","B0EK","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0EK","Secure","1997-01-05","Toxostoma crissale","https://services.itis.gov/?q=tsn:178652","Crissal Thrasher","Birds","Species","Exact Match","Toxostoma crissale"
"Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,South Dakota,Texas,Virginia,Wisconsin","Alabama,Arkansas,Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,Nebraska,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Dakota,Texas,Virginia,Wisconsin","Endangered","B079","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B079","Vulnerable (breeding), Vulnerable (non-breeding)","1997-01-05","Charadrius melodus","https://services.itis.gov/?q=tsn:176507","Piping Plover","Birds","Species","Fuzzy Match","Charadrius melodus [A], Charadrius melodus, Charadrius melodus , Charadrius melodius"
"California,Colorado,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming","California,Idaho,Iowa,Kansas,Minnesota,Montana,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming","Species of Concern","B0NC","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0NC","Apparently Secure (breeding), Apparently Secure (non-breeding)","1997-01-05","Athene cunicularia","https://services.itis.gov/?q=tsn:177946","Burrowing Owl","Birds","Species","Exact Match","Speotyto cunicularia, Athene cunicularia, Athene cunicularia "
"Arizona,Idaho,Kansas,Minnesota,Nebraska,Washington","Arizona,Colorado,Idaho,Kansas,Minnesota,Nebraska,Nevada,Washington,Wyoming","Species of Concern","B0EA","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0EA","Secure (breeding), Secure (non-breeding)","1997-01-05","Aechmophorus occidentalis","https://services.itis.gov/?q=tsn:174503","Western Grebe","Birds","Species","Exact Match","Aechmophorus occidentalis"
"Alaska,Arizona","",NA,NA,NA,"Unranked","Unknown","Troglodytes pacificus","https://services.itis.gov/?q=tsn:916804","Pacific Wren","Birds","Species","Exact Match","Troglodytes pacificus"
"Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Nebraska,New Jersey,New York,North Carolina,South Carolina,Texas,Virginia,Wisconsin,Wyoming","California,Colorado,Delaware,Idaho,Illinois,Iowa,Kansas,Louisiana,Maryland,Michigan,Minnesota,Montana,Nebraska,Nevada,New Jersey,New York,South Carolina,Texas,Virginia,Wisconsin,Wyoming",NA,NA,NA,"Secure (breeding), Secure (non-breeding)","1997-01-05","Sterna forsteri","https://services.itis.gov/?q=tsn:176887","Forster's Tern","Birds","Species","Exact Match","Sterna forsteri , Sterna forsteri"
"California,Oregon,Washington","California,Oregon,Washington","Threatened","B08B","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B08B","Vulnerable","1997-01-05","Strix occidentalis caurina","https://services.itis.gov/?q=tsn:177926","Northern Spotted Owl","Birds","Subspecies","Exact Match","Strix occidentalis caurina"
"Arizona,California,New Mexico","California,Nevada,New Mexico,Texas,Utah",NA,NA,NA,"Secure (breeding)","1997-03-19","Leiothlypis luciae","https://services.itis.gov/?q=tsn:950017","Lucy's Warbler","Birds","Species","Followed Accepted TSN","Oreothlypis luciae, Vermivora luciae"
"Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming","Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Wisconsin,Wyoming","Species of Concern","B0G0","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=B0G0","Secure (breeding), Secure (non-breeding)","1997-01-05","Ammodramus savannarum","https://services.itis.gov/?q=tsn:179333","Grasshopper Sparrow","Birds","Species","Exact Match","Ammodramus savannarum , Ammodramus savannarum"
"Wyoming","Wyoming",NA,NA,NA,"Secure (breeding), Apparently Secure (non-breeding)","1997-03-19","Myiarchus cinerascens","https://services.itis.gov/?q=tsn:178316","Ash-throated Flycatcher","Birds","Species","Exact Match","Myiarchus cinerascens"
