"scientificname","Family","Common name","acceptedauthorityapi","scientificnames_submitted","statelist_2005","statelist_2015"
"Acantharchus pomotis","Centrarchidae","mud sunfish","http://services.itis.gov/?q=tsn:168095","Acantharchus pomotis,Acantharcus pomotis","Delaware,Florida,Maryland,New York,South Carolina,Virginia","Alabama,Delaware,Florida,Maryland,New Jersey,Virginia"
"Acrocheilus alutaceus","Cyprinidae","chiselmouth",NA,NA,NA,NA
"Ameiurus serracanthus","Ictaluridae","Spotted bullhead","http://services.itis.gov/?q=tsn:164047","Ameiurus serracanthus","Florida,Georgia","Florida,Georgia"
"Amia calva","Amiidae","bowfin","http://services.itis.gov/?q=tsn:161104","Amia calva","District of Columbia,Iowa,Maryland","Delaware,District of Columbia,Maryland,Nebraska,Pennsylvania"
"Ammocrypta beanii","Percidae","naked sand darter","http://services.itis.gov/?q=tsn:553376","Ammocrypta beani,Ammocrypta beanii","Tennessee","Tennessee"
"Ammocrypta meridiana","Percidae","southern sand darter",NA,NA,NA,NA
"Anguilla rostrata","Anguillidae","American eel","http://services.itis.gov/?q=tsn:161127","Anguilla rostrata,Anguilla Rostrata","Connecticut,District of Columbia,Florida,Illinois,Iowa,Kansas,Maine,Massachusetts,Minnesota,New Hampshire,New York,Ohio,Puerto Rico,Rhode Island,South Carolina,Texas,Vermont,Virginia,West Virginia,Wisconsin","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Louisiana,Maine,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin"
"Apeltes quadracus","Gasterosteidae","fourspine stickleback","http://services.itis.gov/?q=tsn:166397","Apeltes quadracus,Apeltes quadricus","Connecticut,Delaware,New York","Connecticut,Delaware,New Jersey,New York"
"Aphredoderus sayanus","Aphredoderidae","pirate perch","http://services.itis.gov/?q=tsn:164405","Aphredoderus sayanus,Aphroderus sayanus","Iowa,Michigan,Minnesota,New Jersey,Ohio","Iowa,Minnesota,New Jersey,Ohio"
"Atractosteus spatula","Lepisosteidae","alligator Gar","http://services.itis.gov/?q=tsn:201897","Atractosteus spatula,Lepisosteus spatula","Arkansas,Florida,Kentucky,Mississippi,Missouri,Oklahoma,Tennessee","Arkansas,Florida,Illinois,Kentucky,Mississippi,Missouri,Ohio,Oklahoma,Tennessee,Texas"
"Carpiodes carpio","Catostomidae","river carpsucker","http://services.itis.gov/?q=tsn:163919","Carpiodes carpio","North Carolina,Pennsylvania,West Virginia,Wyoming","North Carolina,West Virginia"
"Catostomus clarkii","Catostomidae","desert sucker","http://services.itis.gov/?q=tsn:163901","Catostomus clarki,Catostomus clarkii,Catostomus clarkii ssp. (unnamed)","Arizona,New Mexico,Utah","Arizona,Nevada,New Mexico,Utah"
"Catostomus fumeiventris","Catostomidae","Owens sucker","http://services.itis.gov/?q=tsn:163904","Catostomus fumeiventris","California","California"
"Catostomus insignis","Catostomidae","Sonora sucker","http://services.itis.gov/?q=tsn:163905","Catostomus insignis","Arizona,New Mexico","Arizona,New Mexico"
"Catostomus macrocheilus","Catostomidae","largescale sucker",NA,NA,NA,NA
