"scientificname","statelist_2015","Montana","Wyoming","Colorado","North Dakota","South Dakota","Nebraska","Kansas"
"Abaeis nicippe","Nebraska",0,0,0,0,0,1,0
"Acalypha ostryifolia","Nebraska",0,0,0,0,0,1,0
"Accipiter gentilis","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",0,1,1,0,1,0,0
"Accipiter striatus","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee",0,0,0,0,0,1,0
"Acentrella parvula","Colorado,Florida",0,0,1,0,0,0,0
"Acer glabrum","Nebraska",0,0,0,0,0,1,0
"Acerpenna pygmaea","Colorado",0,0,1,0,0,0,0
"Achalarus lyciades","Florida,Nebraska",0,0,0,0,0,1,0
"Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",0,0,0,0,0,1,1
"Acipenser transmontanus","California,Idaho,Montana,Oregon,Washington",1,0,0,0,0,0,0
"Acorus americanus","Nebraska",0,0,0,0,0,1,0
"Acris blanchardi","Colorado,Michigan,Minnesota,Missouri,South Dakota,West Virginia,Wisconsin",0,0,1,0,1,0,0
"Acroloxus coloradensis","Colorado",0,0,1,0,0,0,0
"Actaea pachypoda","Louisiana,Nebraska",0,0,0,0,0,1,0
"Aechmophorus clarkii","Arizona,Idaho,Nebraska,New Mexico,Washington,Wyoming",0,1,0,0,0,1,0
"Aechmophorus occidentalis","Arizona,Idaho,Kansas,Minnesota,Nebraska,Washington",0,0,0,0,0,1,1
"Aegolius acadicus","Arizona,Connecticut,Delaware,Maryland,Nebraska,New Jersey,North Carolina,Pennsylvania,Tennessee,Virginia,West Virginia",0,0,0,0,0,1,0
"Aegolius funereus","Alaska,Colorado,Minnesota,New Mexico,Utah,Wyoming",0,1,1,0,0,0,0
"Aeronautes saxatalis","Arizona,Nebraska",0,0,0,0,0,1,0
"Aesculus glabra var. arguta","Nebraska",0,0,0,0,0,1,0
"Agalinis gattingeri","Nebraska",0,0,0,0,0,1,0
"Agalinis purpurea","Missouri,Nebraska",0,0,0,0,0,1,0
"Agalinis tenuifolia","Nebraska",0,0,0,0,0,1,0
"Agapema homogena","Colorado",0,0,1,0,0,0,0
"Agastache foeniculum","Nebraska",0,0,0,0,0,1,0
"Agastache scrophulariifolia","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,Vermont",0,0,0,0,0,1,0
"Agkistrodon contortrix","Connecticut,Delaware,District of Columbia,Iowa,Massachusetts,Nebraska,Pennsylvania",0,0,0,0,0,1,0
"Aglais milberti","Nebraska",0,0,0,0,0,1,0
"Agoseris glauca var. glauca","Nebraska",0,0,0,0,0,1,0
"Agrostis exarata","Nebraska",0,0,0,0,0,1,0
"Alasmidonta marginata","Alabama,Arkansas,Illinois,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",0,0,0,0,1,0,1
"Alces alces","Vermont,Wyoming",0,1,0,0,0,0,0
"Aletes humilis","Colorado",0,0,1,0,0,0,0
"Aletes macdougalii ssp. breviradiatus","Colorado",0,0,1,0,0,0,0
"Aliciella pinnatifida","Nebraska",0,0,0,0,0,1,0
"Aliciella sedifolia","Colorado",0,0,1,0,0,0,0
"Allium canadense var. fraseri","Nebraska",0,0,0,0,0,1,0
"Allium cernuum","Nebraska",0,0,0,0,0,1,0
"Allium drummondii","Nebraska",0,0,0,0,0,1,0
"Allium tricoccum var. burdickii","Nebraska,Tennessee,Vermont",0,0,0,0,0,1,0
"Amaranthus californicus","Nebraska",0,0,0,0,0,1,0
"Amblema plicata","Florida,Iowa,Nebraska,New York,North Dakota,Ohio,Pennsylvania,Virginia,West Virginia",0,0,0,1,0,1,0
"Amblycheila cylindriformis","Nebraska,South Dakota",0,0,0,0,1,1,0
"Amblyderus werneri","Colorado",0,0,1,0,0,0,0
"Amblyscirtes belli","Arkansas,Georgia,Kansas",0,0,0,0,0,0,1
"Amblyscirtes linda","Arkansas,Illinois,Kansas,Missouri,Oklahoma,Tennessee",0,0,0,0,0,0,1
"Amblyscirtes oslari","Nebraska",0,0,0,0,0,1,0
"Ambrosia tomentosa","Nebraska",0,0,0,0,0,1,0
"Ambrysus mormon","Nebraska",0,0,0,0,0,1,0
"Ambystoma texanum","Alabama,Iowa,Michigan,Mississippi,Missouri,Nebraska,Ohio,Tennessee,West Virginia",0,0,0,0,0,1,0
"Ambystoma tigrinum","Alabama,Arkansas,Delaware,Florida,Georgia,Iowa,Kansas,Louisiana,Maryland,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,South Carolina,Virginia,Washington",0,0,0,0,0,0,1
"Ameiurus natalis","New Jersey,North Dakota",0,0,0,1,0,0,0
"Amelanchier interior","Nebraska",0,0,0,0,0,1,0
"Ametropus neavei","Colorado",0,0,1,0,0,0,0
"Amia calva","Delaware,District of Columbia,Maryland,Nebraska,Pennsylvania",0,0,0,0,0,1,0
"Ammannia auriculata","Nebraska",0,0,0,0,0,1,0
"Ammodramus bairdii","Arizona,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas",0,0,0,1,1,1,1
"Ammodramus henslowii","Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",0,0,0,0,0,1,1
"Ammodramus leconteii","Arkansas,Florida,Illinois,Iowa,Louisiana,Minnesota,Mississippi,North Carolina,North Dakota,Oklahoma,South Dakota,Tennessee,Texas,Wisconsin",0,0,0,1,1,0,0
"Ammodramus nelsoni","Alabama,Delaware,Florida,Georgia,Louisiana,Maine,Maryland,Minnesota,Mississippi,New Hampshire,New Jersey,North Carolina,North Dakota,Oklahoma,Rhode Island,Virginia,Wisconsin",0,0,0,1,0,0,0
"Ammodramus savannarum","Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Idaho,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Dakota,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Wyoming",0,1,1,1,0,0,1
"Amorpha nana","Nebraska",0,0,0,0,0,1,0
"Amphiachyris dracunculoides","Nebraska",0,0,0,0,0,1,0
"Amphinaias nodulata","Iowa,Kansas,Minnesota,Mississippi,Ohio,Oklahoma,West Virginia,Wisconsin",0,0,0,0,0,0,1
"Amphinaias pustulosa","Iowa,Nebraska,Pennsylvania,South Dakota,Virginia,West Virginia",0,0,0,0,1,1,0
"Amphiscirpus nevadensis","Nebraska",0,0,0,0,0,1,0
"Analetris eximia","South Dakota",0,0,0,0,1,0,0
"Anaphalis margaritacea","Nebraska",0,0,0,0,0,1,0
"Anas acuta","Delaware,Hawaii,Iowa,Kansas,Kentucky,Louisiana,Minnesota,Nevada,New Jersey,New York,North Dakota,Oklahoma,Rhode Island,South Carolina,Texas,Virginia,Wyoming",0,1,0,1,0,0,1
"Anas americana","Delaware,Hawaii,Iowa,Nebraska,Rhode Island",0,0,0,0,0,1,0
"Anas cyanoptera","Nebraska,Washington",0,0,0,0,0,1,0
"Anatrytone logan","Delaware,Maryland,Nebraska",0,0,0,0,0,1,0
"Anaxyrus americanus","District of Columbia,Nebraska",0,0,0,0,0,1,0
"Anaxyrus baxteri","Wyoming",0,1,0,0,0,0,0
"Anaxyrus boreas","Alaska,Idaho,Montana,Nevada,New Mexico,Oregon,Utah,Washington",1,0,0,0,0,0,0
"Anaxyrus boreas boreas","Colorado,Wyoming",0,1,1,0,0,0,0
"Anaxyrus cognatus","Iowa,Minnesota,Missouri,Montana,Nevada,Utah,Wyoming",1,1,0,0,0,0,0
"Anaxyrus debilis","Colorado,Kansas,Oklahoma",0,0,1,0,0,0,1
"Anaxyrus hemiophrys","North Dakota",0,0,0,1,0,0,0
"Anaxyrus punctatus","Kansas",0,0,0,0,0,0,1
"Anemone multifida var. multifida","Nebraska,Vermont",0,0,0,0,0,1,0
"Anguilla rostrata","Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Louisiana,Maine,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",0,0,0,0,0,1,1
"Anisota oslari","Colorado",0,0,1,0,0,0,0
"Anodonta californiensis","Arizona,California,Idaho,Nevada,Oregon,Utah,Washington,Wyoming",0,1,0,0,0,0,0
"Anodontoides ferussacianus","Colorado,Iowa,Kansas,Kentucky,Missouri,Ohio,Pennsylvania,Tennessee,Vermont,West Virginia,Wyoming",0,1,1,0,0,0,1
"Antennaria dimorpha","Nebraska",0,0,0,0,0,1,0
"Anthus spragueii","Arizona,Arkansas,Iowa,Kansas,Louisiana,Minnesota,Missouri,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas",0,0,0,1,1,1,1
"Anticlea elegans var. elegans","Nebraska",0,0,0,0,0,1,0
"Anticlea vaginata","Colorado",0,0,1,0,0,0,0
"Antrozous pallidus","California,Kansas,Oregon,Texas,Wyoming",0,1,0,0,0,0,1
"Apalone mutica","Illinois,Iowa,Kansas,Louisiana,Minnesota,Nebraska,North Dakota,Oklahoma,South Dakota,Tennessee,Texas,Wisconsin",0,0,0,1,1,1,1
"Apalone spinifera","Iowa,Maryland,North Dakota,Oklahoma,South Carolina,Texas,Vermont",0,0,0,1,0,0,0
"Apalone spinifera spinifera","New York,North Carolina,Virginia,West Virginia,Wyoming",0,1,0,0,0,0,0
"Aphelocoma californica","Arizona,Wyoming",0,1,0,0,0,0,0
"Apobaetis etowah","Colorado",0,0,1,0,0,0,0
"Apobaetis lakota","Nebraska",0,0,0,0,0,1,0
"Aquila chrysaetos","Alabama,Arizona,Colorado,Delaware,Idaho,Kansas,Maine,Maryland,Mississippi,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Dakota,Oklahoma,Pennsylvania,Tennessee,Texas,Utah,Virginia,Washington,West Virginia",0,0,1,1,0,1,1
"Aralia racemosa","Nebraska",0,0,0,0,0,1,0
"Archilochus colubris","Nebraska",0,0,0,0,0,1,0
"Arcidens confragosus","Iowa,Kansas,Minnesota,Mississippi,South Dakota,Wisconsin",0,0,0,0,1,0,1
"Arctostaphylos uva-ursi","Nebraska,West Virginia",0,0,0,0,0,1,0
"Argia alberta","Colorado,Iowa,Missouri",0,0,1,0,0,0,0
"Argyrochosma dealbata","Nebraska",0,0,0,0,0,1,0
"Arisaema dracontium","Massachusetts,Nebraska,Vermont",0,0,0,0,0,1,0
"Aristida desmantha","Missouri,Nebraska",0,0,0,0,0,1,0
"Aristida purpurascens var. purpurascens","Nebraska,West Virginia",0,0,0,0,0,1,0
"Arizona elegans","Kansas,Nebraska",0,0,0,0,0,1,1
"Arnoglossum atriplicifolium","Nebraska",0,0,0,0,0,1,0
"Artemisia carruthii","Nebraska",0,0,0,0,0,1,0
"Artemisiospiza belli","Arizona,Colorado,Nevada,Wyoming",0,1,1,0,0,0,0
"Asclepias amplexicaulis","Connecticut,Nebraska,Vermont",0,0,0,0,0,1,0
"Asclepias asperula ssp. capricornu","Nebraska",0,0,0,0,0,1,0
"Asclepias latifolia","Nebraska",0,0,0,0,0,1,0
"Asclepias purpurascens","Connecticut,Georgia,Louisiana,Massachusetts,Nebraska,Tennessee",0,0,0,0,0,1,0
"Asclepias uncialis","Colorado",0,0,1,0,0,0,0
"Asio flammeus","Alabama,California,Colorado,Connecticut,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Washington,West Virginia,Wisconsin,Wyoming",0,1,1,1,0,1,1
"Asplenium platyneuron","Nebraska",0,0,0,0,0,1,0
"Asterocampa clyton","Delaware,Nebraska,Vermont",0,0,0,0,0,1,0
"Astragalus agrestis","Nebraska",0,0,0,0,0,1,0
"Astragalus anisus","Colorado",0,0,1,0,0,0,0
"Astragalus barrii","Nebraska",0,0,0,0,0,1,0
"Astragalus bodinii","Nebraska",0,0,0,0,0,1,0
"Astragalus cronquistii","Colorado",0,0,1,0,0,0,0
"Astragalus debequaeus","Colorado",0,0,1,0,0,0,0
"Astragalus deterior","Colorado",0,0,1,0,0,0,0
"Astragalus equisolensis","Colorado",0,0,1,0,0,0,0
"Astragalus humillimus","Colorado",0,0,1,0,0,0,0
"Astragalus hyalinus","Nebraska",0,0,0,0,0,1,0
"Astragalus iodopetalus","Colorado",0,0,1,0,0,0,0
"Astragalus microcymbus","Colorado",0,0,1,0,0,0,0
"Astragalus missouriensis var. humistratus","Colorado",0,0,1,0,0,0,0
"Astragalus naturitensis","Colorado",0,0,1,0,0,0,0
"Astragalus osterhoutii","Colorado",0,0,1,0,0,0,0
"Astragalus pectinatus","Nebraska",0,0,0,0,0,1,0
"Astragalus piscator","Colorado",0,0,1,0,0,0,0
"Astragalus rafaelensis","Colorado",0,0,1,0,0,0,0
"Astragalus schmolliae","Colorado",0,0,1,0,0,0,0
"Astragalus shortianus","Nebraska",0,0,0,0,0,1,0
"Astragalus sparsiflorus","Colorado",0,0,1,0,0,0,0
"Astragalus tortipes","Colorado",0,0,1,0,0,0,0
"Athene cunicularia","California,Colorado,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,New Mexico,North Dakota,Oklahoma,South Dakota,Texas,Utah,Washington,Wyoming",0,1,1,1,1,1,1
"Athyrium filix-femina var. cyclosorum","Nebraska",0,0,0,0,0,1,0
"Atriplex gardneri var. gardneri","Nebraska",0,0,0,0,0,1,0
"Atriplex powellii var. powellii","Nebraska",0,0,0,0,0,1,0
"Atrytone arogos","Colorado,Iowa,Kansas,Louisiana,Nebraska,South Carolina",0,0,1,0,0,1,1
"Atrytone arogos iowa","Arkansas,Minnesota,Nebraska,Oklahoma,South Dakota",0,0,0,0,1,1,0
"Atrytonopsis hianna","Delaware,Iowa,Louisiana,Maine,Maryland,Michigan,Minnesota,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin",0,0,0,0,0,1,0
