"scientificname","commonname","taxonomicrank","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","change"
"Abaeis nicippe","Sleepy Orange","Species","Followed Accepted TSN","Eurema nicippe","","Nebraska",0,1,-1
"Acalypha ostryifolia","Rough-pod Copperleaf","Species","Exact Match","Acalypha ostryifolia","","Nebraska",0,1,-1
"Accipiter gentilis","Northern Goshawk","Species","Fuzzy Match","Accipiter gentilis,Accipiter gentilus","Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",23,19,4
"Accipiter striatus","Sharp-shinned Hawk","Species","Exact Match","Accipiter striatus","Alaska,California,Connecticut,Delaware,Indiana,Kentucky,Maryland,Massachusetts,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Rhode Island,Tennessee,West Virginia","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee",17,12,5
"Acentrella parvula","A Mayfly","Species","Exact Match","Acentrella parvula","","Colorado,Florida",0,2,-2
"Acer glabrum","Rocky Mountain Maple","Species","Exact Match","Acer glabrum","Nebraska","Nebraska",1,1,0
"Acerpenna pygmaea","Tiny Blue-Winged Olive","Species","Exact Match","Acerpenna pygmaea","","Colorado",0,1,-1
"Achalarus lyciades","Hoary Edge","Species","Exact Match","Achalarus lyciades","Indiana","Florida,Nebraska",1,2,-1
"Acipenser fulvescens","Lake Sturgeon","Species","Exact Match","Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",18,18,0
"Acipenser transmontanus","White Sturgeon","Species","Exact Match","Acipenser transmontanus,Acipenser transmontanus 1,Acipenser transmontanus 2,Acipenser transmontanus pop.2","Alaska,California,Idaho,Montana","California,Idaho,Montana,Oregon,Washington",4,5,-1
"Acorus americanus","American Sweet-Flag","Species","Exact Match","Acorus americanus","Nebraska","Nebraska",1,1,0
"Acris blanchardi","Blanchard''s Cricket Frog","Species","Exact Match","Acris blanchardi,Acris crepitans blanchardi","Michigan,Ohio,West Virginia","Colorado,Michigan,Minnesota,Missouri,South Dakota,West Virginia,Wisconsin",3,7,-4
"Acroloxus coloradensis","Rocky Mountain capshell","Species","Exact Match","Acroloxus coloradensis","Colorado,Montana","Colorado",2,1,1
"Actaea pachypoda","White Baneberry","Species","Exact Match","Actaea pachypoda","Nebraska","Louisiana,Nebraska",1,2,-1
"Aechmophorus clarkii","Clark''s Grebe","Species","Exact Match","Aechmophorus clarkii","Arizona,Idaho,Montana,Nebraska,Nevada,Wyoming","Arizona,Idaho,Nebraska,New Mexico,Washington,Wyoming",6,6,0
"Aechmophorus occidentalis","Western Grebe","Species","Exact Match","Aechmophorus occidentalis","Arizona,Colorado,Idaho,Kansas,Minnesota,Nebraska,Nevada,Washington,Wyoming","Arizona,Idaho,Kansas,Minnesota,Nebraska,Washington",9,6,3
"Aegolius acadicus","Northern Saw-whet Owl","Species","Exact Match","Aegalius acadicus,Aegolius acadicus","Alaska,Connecticut,Maryland,North Carolina,Ohio,Tennessee,Virginia,West Virginia","Arizona,Connecticut,Delaware,Maryland,Nebraska,New Jersey,North Carolina,Pennsylvania,Tennessee,Virginia,West Virginia",8,11,-3
"Aegolius funereus","Boreal Owl","Species","Exact Match","Aegolius funereus","Alaska,Colorado,Idaho,Minnesota,New Mexico,Utah,Wyoming","Alaska,Colorado,Minnesota,New Mexico,Utah,Wyoming",7,6,1
"Aeronautes saxatalis","White-throated Swift","Species","Exact Match","Aeronautes saxatalis","Colorado,Nebraska,Nevada,Texas","Arizona,Nebraska",4,2,2
"Aesculus glabra var. arguta","Ohio Buckeye","Variety","Exact Match","Aesculus glabra var. arguta","Nebraska","Nebraska",1,1,0
"Agalinis gattingeri","Round-stem False Foxglove","Species","Exact Match","Agalinis gattingeri","","Nebraska",0,1,-1
"Agalinis purpurea","Purple False Foxglove","Species","Exact Match","Agalinis purpurea","Missouri,Nebraska","Missouri,Nebraska",2,2,0
"Agalinis tenuifolia","Narrow-leaf False Foxglove","Species","Followed Accepted TSN","Agalinis tenuifolia var. macrophylla","","Nebraska",0,1,-1
"Agapema homogena","Rocky Mountain agapema","Species","Exact Match","Agapema homogena","Colorado","Colorado",1,1,0
"Agastache foeniculum","Lavender Giant-hyssop","Species","Exact Match","Agastache foeniculum","Nebraska","Nebraska",1,1,0
"Agastache scrophulariifolia","Purple Giant Hyssop","Species","Exact Match","Agastache scrophulariifolia","Georgia,Missouri,Nebraska,Vermont","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,Vermont",4,6,-2
"Agkistrodon contortrix","Copperhead","Species","Exact Match","Agkistrodon contortix,Agkistrodon contortrix,Agkistsrodon contortrix","Connecticut,Delaware,District of Columbia,Florida,Iowa,Massachusetts,Nebraska","Connecticut,Delaware,District of Columbia,Iowa,Massachusetts,Nebraska,Pennsylvania",7,7,0
