"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Abaeis nicippe","Sleepy Orange","Fuzzy Match","Eurema nicippe","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Acalypha ostryifolia","Rough-pod Copperleaf","Exact Match","Acalypha ostryifolia","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Accipiter gentilis","Northern Goshawk","Fuzzy Match","Accipiter gentilis,Accipiter gentilus","Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming","Resolved Taxon","Animalia","Chordata","Aves"
"Accipiter striatus","Sharp-shinned Hawk","Exact Match","Accipiter striatus","Alaska,California,Connecticut,Delaware,Indiana,Kentucky,Maryland,Massachusetts,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Rhode Island,Tennessee,West Virginia","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee","Species of Concern","Animalia","Chordata","Aves"
"Acentrella parvula","A Mayfly","Exact Match","Acentrella parvula","","Colorado,Florida",NA,"Animalia","Arthropoda","Insecta"
"Acer glabrum","Rocky Mountain Maple","Exact Match","Acer glabrum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Acerpenna pygmaea","Tiny Blue-Winged Olive","Exact Match","Acerpenna pygmaea","","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Achalarus lyciades","Hoary Edge","Exact Match","Achalarus lyciades","Indiana","Florida,Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Acipenser fulvescens","Lake Sturgeon","Exact Match","Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Species of Concern","Animalia","Chordata","Chondrostei"
"Acipenser transmontanus","White Sturgeon","Exact Match","Acipenser transmontanus,Acipenser transmontanus 1,Acipenser transmontanus 2,Acipenser transmontanus pop.2","Alaska,California,Idaho,Montana","California,Idaho,Montana,Oregon,Washington","Endangered","Animalia","Chordata","Chondrostei"
"Acorus americanus","American Sweet-Flag","Exact Match","Acorus americanus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Acris blanchardi","Blanchard's cricket frog","Fuzzy Match","Acris blanchardi,Acris crepitans blanchardi","Michigan,Ohio,West Virginia","Colorado,Michigan,Minnesota,Missouri,South Dakota,West Virginia,Wisconsin",NA,"Animalia","Chordata","Amphibia"
"Acroloxus coloradensis","Rocky Mountain capshell","Exact Match","Acroloxus coloradensis","Colorado,Montana","Colorado","Resolved Taxon","Animalia","Mollusca","Gastropoda"
"Actaea pachypoda","White Baneberry","Exact Match","Actaea pachypoda","Nebraska","Louisiana,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Aechmophorus clarkii","Clark's Grebe","Exact Match","Aechmophorus clarkii","Arizona,Idaho,Montana,Nebraska,Nevada,Wyoming","Arizona,Idaho,Nebraska,New Mexico,Washington,Wyoming",NA,"Animalia","Chordata","Aves"
"Aechmophorus occidentalis","Western Grebe","Exact Match","Aechmophorus occidentalis","Arizona,Colorado,Idaho,Kansas,Minnesota,Nebraska,Nevada,Washington,Wyoming","Arizona,Idaho,Kansas,Minnesota,Nebraska,Washington","Species of Concern","Animalia","Chordata","Aves"
"Aegolius acadicus","Northern Saw-whet Owl","Exact Match","Aegalius acadicus,Aegolius acadicus","Alaska,Connecticut,Maryland,North Carolina,Ohio,Tennessee,Virginia,West Virginia","Arizona,Connecticut,Delaware,Maryland,Nebraska,New Jersey,North Carolina,Pennsylvania,Tennessee,Virginia,West Virginia",NA,"Animalia","Chordata","Aves"
"Aegolius funereus","Boreal Owl","Exact Match","Aegolius funereus","Alaska,Colorado,Idaho,Minnesota,New Mexico,Utah,Wyoming","Alaska,Colorado,Minnesota,New Mexico,Utah,Wyoming",NA,"Animalia","Chordata","Aves"
"Aeronautes saxatalis","White-throated Swift","Exact Match","Aeronautes saxatalis","Colorado,Nebraska,Nevada,Texas","Arizona,Nebraska",NA,"Animalia","Chordata","Aves"
"Aesculus glabra var. arguta","Ohio Buckeye","Exact Match","Aesculus glabra var. arguta","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Agalinis gattingeri","Round-stem False Foxglove","Exact Match","Agalinis gattingeri","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Agalinis purpurea","Purple False Foxglove","Exact Match","Agalinis purpurea","Missouri,Nebraska","Missouri,Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Agalinis tenuifolia","Narrow-leaf False Foxglove","Fuzzy Match","Agalinis tenuifolia var. macrophylla","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Agapema homogena","Rocky Mountain agapema","Exact Match","Agapema homogena","Colorado","Colorado",NA,"Animalia","Arthropoda","Insecta"
"Agastache foeniculum","Lavender Giant-hyssop","Exact Match","Agastache foeniculum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Agastache scrophulariifolia","Purple Giant Hyssop","Exact Match","Agastache scrophulariifolia","Georgia,Missouri,Nebraska,Vermont","Georgia,Massachusetts,Missouri,Nebraska,Tennessee,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Agkistrodon contortrix","Copperhead","Exact Match","Agkistrodon contortix,Agkistrodon contortrix,Agkistsrodon contortrix","Connecticut,Delaware,District of Columbia,Florida,Iowa,Massachusetts,Nebraska","Connecticut,Delaware,District of Columbia,Iowa,Massachusetts,Nebraska,Pennsylvania",NA,"Animalia","Chordata","Reptilia"
"Aglais milberti","Milbert's Tortoiseshell","Fuzzy Match","Nymphalis milberti","","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Agoseris glauca var. glauca","Pale False-dandelion","Exact Match","Agoseris glauca var. glauca","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Agrostis exarata","Spikebent","Fuzzy Match","Agrostis exarata var. minor","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Alasmidonta marginata","Elktoe","Exact Match","Alasmidonta marginaa,Alasmidonta marginata","Alabama,Arkansas,Georgia,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,South Dakota,Tennessee,Vermont,Virginia,West Virginia","Alabama,Arkansas,Illinois,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,New York,Ohio,Oklahoma,Pennsylvania,South Dakota,Tennessee,Vermont,Virginia,West Virginia,Wisconsin","Species of Concern","Animalia","Mollusca","Bivalvia"
"Alces alces","Moose","Exact Match","Alces alces","Massachusetts,Michigan,Wisconsin,Wyoming","Vermont,Wyoming",NA,"Animalia","Chordata","Mammalia"
