"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Oklahoma","",NA,NA,NA,"Trigenotyla blacki",NA,"a cave obligate millipede","Other","Undetermined","Not Matched","Trigenotyla blacki"
"Oklahoma","",NA,NA,NA,"Arrhopalites jay",NA,"a cave springtail","Other","Undetermined","Not Matched","Arrhopalites jay"
"Texas","",NA,NA,NA,"Nicagus occultus","https://services.itis.gov/?q=tsn:930030","A stag beetle","Insects","Species","Exact Match","Nicagus occultus"
"Georgia","",NA,NA,NA,"Elimia mutabilis","https://services.itis.gov/?q=tsn:71783","oak elimia","Mollusks","Species","Exact Match","Elimia mutabilis"
"Virginia","Virginia","Under Review in the Candidate or Petition Process","I0JU","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0JU","Pseudanophthalmus limicola","https://services.itis.gov/?q=tsn:932004","Shenandoah cave beetle","Insects","Species","Exact Match","Pseudanophthalmus limicola"
"Texas","",NA,NA,NA,"Farrodes mexicanus","https://services.itis.gov/?q=tsn:609642","A mayfly","Insects","Species","Exact Match","Farrodes mexicanus "
"Texas","","Species of Concern","I07B","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I07B","Eximacris superbum","https://services.itis.gov/?q=tsn:658204","Superb grasshopper","Insects","Species","Exact Match","Eximacris (Spharoagemon) superbum"
"Texas","",NA,NA,NA,"Dichopetala oreoeca","https://services.itis.gov/?q=tsn:658160","A katydid","Insects","Species","Exact Match","Dichopetala oreoeca"
"Texas","",NA,NA,NA,"Cemophora coccinea lineri","https://services.itis.gov/?q=tsn:209268","Texas Scarlet Snake","Reptiles","Subspecies","Exact Match","Cemophora coccinea lineri"
"Texas","",NA,NA,NA,"Decinea percosius","https://services.itis.gov/?q=tsn:706679","Double-dotted Skipper","Insects","Species","Exact Match","Decinea percosius"
"Texas","",NA,NA,NA,"Cryptocephalus downiei","https://services.itis.gov/?q=tsn:721221","A leaf beetle","Insects","Species","Exact Match","Cryptocephalus downiei "
"Texas","",NA,NA,NA,"Cotalpa conclamara","https://services.itis.gov/?q=tsn:928732","A scarab beetle","Insects","Species","Exact Match","Cotalpa conclamara"
"West Virginia","",NA,NA,NA,"Vernonia glauca","https://services.itis.gov/?q=tsn:38637","broadleaf ironweed","Plants","Species","Exact Match","Vernonia glauca"
"Alabama,Tennessee","Tennessee",NA,NA,NA,"Villosa taeniata","https://services.itis.gov/?q=tsn:80211","painted creekshell","Mollusks","Species","Exact Match","Villosa taeniata"
"Texas","","Species of Concern","I0F0","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0F0","Cicindela obsoleta neojuvenilis","https://services.itis.gov/?q=tsn:697856","Rio Grande Grassland Tiger Beetle","Insects","Subspecies","Exact Match","Cicindela obsoleta neojuvenilis"
"Texas","",NA,NA,NA,"Batrisodes shadeae",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes shadeae"
"Texas","",NA,NA,NA,"Batrisodes pekinsi",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes pekinsi"
"Texas","",NA,NA,NA,"Batrisodes dentifrons",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes dentifrons"
"Texas","",NA,NA,NA,"Batrisodes cryptotexanus",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes cryptotexanus"
