"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Abaeis nicippe","Sleepy Orange","Species","Fuzzy Match","Insects","Eurema nicippe","","Nebraska",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Abaeis"
"Acalypha ostryifolia","Rough-pod Copperleaf","Species","Exact Match","Plants","Acalypha ostryifolia","","Nebraska",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"Acanthametropus pecatonica","Pecatonica River Mayfly","Species","Exact Match","Insects","Acanthametropus pecatonica","Illinois,Wisconsin","Illinois,South Carolina,Wisconsin",2,3,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Acanthametropodidae","Acanthametropus"
"Accipiter gentilis","Northern Goshawk","Species","Fuzzy Match","Birds","Accipiter gentilis,Accipiter gentilus","Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",23,19,"Resolved Taxon","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Accipiter striatus","Sharp-shinned Hawk","Species","Exact Match","Birds","Accipiter striatus","Alaska,California,Connecticut,Delaware,Indiana,Kentucky,Maryland,Massachusetts,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Rhode Island,Tennessee,West Virginia","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee",17,12,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Acella haldemani","spindle lymnaea","Species","Exact Match","Mollusks","Acella haldemani","Illinois,Michigan,Minnesota,New York,Vermont","Michigan,Vermont",5,2,NA,"Animalia","Mollusca","Gastropoda","Basommatophora","Lymnaeidae","Acella"
"Acer glabrum","Rocky Mountain Maple","Species","Exact Match","Plants","Acer glabrum","Nebraska","Nebraska",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer"
"Achalarus lyciades","Hoary Edge","Species","Exact Match","Insects","Achalarus lyciades","Indiana","Florida,Nebraska",1,2,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achalarus"
"Acipenser fulvescens","Lake Sturgeon","Species","Exact Match","Fish","Acipenser fulvescens","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin","Alabama,Arkansas,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,New York,Ohio,Pennsylvania,Tennessee,Vermont,Wisconsin",18,18,"Species of Concern","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Aconitum uncinatum","Southern monkshood","Species","Exact Match","Plants","Aconitum uncinatum","Missouri","Missouri",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aconitum"
