"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Abacion tesselatum","A millipede","Species","Fuzzy Match","Other Invertebrates","Abacion tessalatum","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Diplopoda","Callipodida","Abacionidae","Abacion"
"Abagrotis brunneipennis","Yankee Dart","Species","Exact Match","Insects","Abagrotis brunneipennis","","Pennsylvania",0,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Abagrotis"
"Abagrotis nefascia","Coastal Heathland Cutworm","Species","Exact Match","Insects","Abagrotis nefascia","Massachusetts","Massachusetts",1,1,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Abagrotis"
"Abagrotis nefascia benjamini","Coastal Heathland Cutworm","Unknown Taxonomic Rank","Legacy Match","Insects","Abagrotis nefascia benjamini","Connecticut,New York","Connecticut,Rhode Island",2,2,NA,NA,NA,NA,NA,NA,NA
"Abies balsamea","Balsam Fir","Species","Exact Match","Plants","Abies balsamea","","West Virginia",0,1,NA,"Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"Acalypha gracilens","slender copperleaf","Species","Exact Match","Plants","Acalypha gracilens","Vermont","Vermont",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"Acantharchus pomotis","Mud sunfish","Species","Fuzzy Match","Fish","Acantharchus pomotis,Acantharcus pomotis","Delaware,Florida,Maryland,New York,South Carolina,Virginia","Alabama,Delaware,Florida,Maryland,New Jersey,Virginia",6,6,NA,"Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Acantharchus"
"Acanthocyclops columbiensis","A Copepod","Species","Exact Match","Other","Acanthocyclops columbiensis,Acanthocyclops Columbiensis","District of Columbia","District of Columbia,Maryland",1,2,"Resolved Taxon","Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops"
"Accipiter cooperii","Cooper's Hawk","Species","Exact Match","Birds","Accipiter cooperii,Accipiter Cooperii","California,Connecticut,Delaware,Michigan,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Vermont,West Virginia","New Jersey",12,1,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Accipiter gentilis","Northern Goshawk","Species","Fuzzy Match","Birds","Accipiter gentilis,Accipiter gentilus","Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",23,19,"Resolved Taxon","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Accipiter striatus","Sharp-shinned Hawk","Species","Exact Match","Birds","Accipiter striatus","Alaska,California,Connecticut,Delaware,Indiana,Kentucky,Maryland,Massachusetts,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Rhode Island,Tennessee,West Virginia","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee",17,12,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Acella haldemani","spindle lymnaea","Species","Exact Match","Mollusks","Acella haldemani","Illinois,Michigan,Minnesota,New York,Vermont","Michigan,Vermont",5,2,NA,"Animalia","Mollusca","Gastropoda","Basommatophora","Lymnaeidae","Acella"
"Acer saccharum","Sugar Maple","Species","Exact Match","Plants","Acer saccharum","","Connecticut",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer"
"Achillea millefolium","Common Yarrow","Species","Exact Match","Plants","Achillea millefolium","","Connecticut",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea"
