"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Abacion tesselatum","A millipede","Species","Fuzzy Match","Other Invertebrates","Abacion tessalatum","Virginia","Virginia",1,1,NA,"Animalia","Arthropoda","Diplopoda","Callipodida","Abacionidae","Abacion"
"Abacion wilhelminae","millipede","Species","Exact Match","Other Invertebrates","Abacion wilhelminae","Arkansas","Arkansas",1,1,NA,"Animalia","Arthropoda","Diplopoda","Callipodida","Abacionidae","Abacion"
"Abies balsamea","Balsam Fir","Species","Exact Match","Plants","Abies balsamea","","West Virginia",0,1,NA,"Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"Abies fraseri","Fraser Fir","Species","Exact Match","Plants","Abies fraseri","","Tennessee",0,1,"Species of Concern","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies"
"Abronia ameliae","Amelia's Sand-verbena","Species","Exact Match","Plants","Abronia ameliae","","Texas",0,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia"
"Abronia macrocarpa","Large-fruited sand-verbena","Species","Exact Match","Plants","Abronia macrocarpa","","Texas",0,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia"
"Acalypha deamii","Deam's Copperleaf","Species","Exact Match","Plants","Acalypha deamii","Missouri","Tennessee",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"Acalypta lillianis","lace bug","Species","Fuzzy Match","Insects","Acalypta lillianus","Arkansas","Arkansas",1,1,NA,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta"
"Acalypta susanae","lace bug","Species","Exact Match","Insects","Acalypta susanae","Arkansas","Arkansas",1,1,NA,"Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta"
"Acanthametropus pecatonica","Pecatonica River Mayfly","Species","Exact Match","Insects","Acanthametropus pecatonica","Illinois,Wisconsin","Illinois,South Carolina,Wisconsin",2,3,NA,"Animalia","Arthropoda","Insecta","Ephemeroptera","Acanthametropodidae","Acanthametropus"
"Acantharchus pomotis","Mud sunfish","Species","Fuzzy Match","Fish","Acantharchus pomotis,Acantharcus pomotis","Delaware,Florida,Maryland,New York,South Carolina,Virginia","Alabama,Delaware,Florida,Maryland,New Jersey,Virginia",6,6,NA,"Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Acantharchus"
"Acanthocyclops parasensitivus","(a copepod)","Species","Exact Match","Other","Acanthocyclops parasensitivus","","Tennessee",0,1,NA,"Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops"
"Acanthohaustorius intermedius","'An amphipod'","Species","Exact Match","Other","Acanthohaustorius intermedius","South Carolina","South Carolina",1,1,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Haustoriidae","Acanthohaustorius"
"Acanthohaustorius millsi","'An amphipod'","Species","Exact Match","Other","Acanthohaustorius millsi","South Carolina","South Carolina",1,1,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Haustoriidae","Acanthohaustorius"
"Acanthohaustorius shoemakeri","'An amphipod'","Species","Exact Match","Other","Acanthohaustorius shoemakeri","","South Carolina",0,1,NA,"Animalia","Arthropoda","Malacostraca","Amphipoda","Haustoriidae","Acanthohaustorius"
"Accipiter gentilis","Northern Goshawk","Species","Fuzzy Match","Birds","Accipiter gentilis,Accipiter gentilus","Alaska,California,Colorado,Connecticut,Maryland,Michigan,Minnesota,Montana,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Rhode Island,South Dakota,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming","California,Colorado,Connecticut,Delaware,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New York,Pennsylvania,Rhode Island,South Dakota,Vermont,West Virginia,Wisconsin,Wyoming",23,19,"Resolved Taxon","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Accipiter striatus","Sharp-shinned Hawk","Species","Exact Match","Birds","Accipiter striatus","Alaska,California,Connecticut,Delaware,Indiana,Kentucky,Maryland,Massachusetts,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Rhode Island,Tennessee,West Virginia","Arkansas,Connecticut,Delaware,Indiana,Kentucky,Maryland,Missouri,Nebraska,New Jersey,Ohio,Pennsylvania,Tennessee",17,12,"Species of Concern","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
