"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Oklahoma","",NA,NA,NA,"Critically Imperiled","2010-10-29","Trigenotyla blacki",NA,"a cave obligate millipede","Other","Undetermined","Not Matched","Trigenotyla blacki"
"Oklahoma","",NA,NA,NA,"Imperiled","2002-08-21","Arrhopalites jay",NA,"a cave springtail","Other","Undetermined","Not Matched","Arrhopalites jay"
"Texas","",NA,NA,NA,"Unranked","Unknown","Nicagus occultus","https://services.itis.gov/?q=tsn:930030","A stag beetle","Insects","Species","Exact Match","Nicagus occultus"
"Georgia","",NA,NA,NA,"Imperiled","1999-09-14","Elimia mutabilis","https://services.itis.gov/?q=tsn:71783","oak elimia","Mollusks","Species","Exact Match","Elimia mutabilis"
"Virginia","Virginia","Under Review in the Candidate or Petition Process","I0JU","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0JU","Critically Imperiled","2002-08-21","Pseudanophthalmus limicola","https://services.itis.gov/?q=tsn:932004","Shenandoah cave beetle","Insects","Species","Exact Match","Pseudanophthalmus limicola"
"Texas","",NA,NA,NA,"Critically Imperiled","2009-04-15","Farrodes mexicanus","https://services.itis.gov/?q=tsn:609642","A mayfly","Insects","Species","Exact Match","Farrodes mexicanus "
"Texas","","Species of Concern","I07B","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I07B","Secure","2000-12-01","Eximacris superbum","https://services.itis.gov/?q=tsn:658204","Superb grasshopper","Insects","Species","Exact Match","Eximacris (Spharoagemon) superbum"
"Texas","",NA,NA,NA,"Unranked","Unknown","Dichopetala oreoeca","https://services.itis.gov/?q=tsn:658160","A katydid","Insects","Species","Exact Match","Dichopetala oreoeca"
"Texas","",NA,NA,NA,"Imperiled","1996-10-05","Cemophora coccinea lineri","https://services.itis.gov/?q=tsn:209268","Texas Scarlet Snake","Reptiles","Subspecies","Exact Match","Cemophora coccinea lineri"
"Texas","",NA,NA,NA,"Critically Imperiled","1998-09-30","Decinea percosius","https://services.itis.gov/?q=tsn:706679","Double-dotted Skipper","Insects","Species","Exact Match","Decinea percosius"
"Texas","",NA,NA,NA,"Critically Imperiled","2014-03-25","Cryptocephalus downiei","https://services.itis.gov/?q=tsn:721221","A leaf beetle","Insects","Species","Exact Match","Cryptocephalus downiei "
"Texas","",NA,NA,NA,"Unranked","Unknown","Cotalpa conclamara","https://services.itis.gov/?q=tsn:928732","A scarab beetle","Insects","Species","Exact Match","Cotalpa conclamara"
"West Virginia","",NA,NA,NA,"Unranked","Unknown","Vernonia glauca","https://services.itis.gov/?q=tsn:38637","broadleaf ironweed","Plants","Species","Exact Match","Vernonia glauca"
"Alabama,Tennessee","Tennessee",NA,NA,NA,"Apparently Secure","2011-12-19","Villosa taeniata","https://services.itis.gov/?q=tsn:80211","painted creekshell","Mollusks","Species","Exact Match","Villosa taeniata"
"Texas","","Species of Concern","I0F0","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0F0","Critically Imperiled","1997-09-01","Cicindela obsoleta neojuvenilis","https://services.itis.gov/?q=tsn:697856","Rio Grande Grassland Tiger Beetle","Insects","Subspecies","Exact Match","Cicindela obsoleta neojuvenilis"
"Texas","",NA,NA,NA,"Critically Imperiled","2010-11-05","Batrisodes shadeae",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes shadeae"
"Texas","",NA,NA,NA,"Critically Imperiled","2010-11-05","Batrisodes pekinsi",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes pekinsi"
"Texas","",NA,NA,NA,"Critically Imperiled","2010-11-05","Batrisodes dentifrons",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes dentifrons"
"Texas","",NA,NA,NA,"Imperiled","2010-11-05","Batrisodes cryptotexanus",NA,"A cave obligate beetle","Other","Undetermined","Not Matched","Batrisodes cryptotexanus"
"Michigan,North Carolina,West Virginia","",NA,NA,NA,"Secure","2004-10-01","Ventridens suppressus","https://services.itis.gov/?q=tsn:77282","flat dome","Mollusks","Species","Exact Match","Ventridens suppressus"
"Texas","",NA,NA,NA,"Critically Imperiled","2003-12-11","Baetodes alleni","https://services.itis.gov/?q=tsn:568581","A mayfly","Insects","Species","Exact Match","Baetodes alleni "
"Texas","",NA,NA,NA,"Unranked","Unknown","Arethaea phantasma","https://services.itis.gov/?q=tsn:657900","Rio Grande Thread-legged katydid","Insects","Species","Exact Match","Arethaea phantasma"
"Texas","Florida",NA,NA,NA,"Unranked","Unknown","Thunnus albacares","https://services.itis.gov/?q=tsn:172423","yellowfin tuna","Fish","Species","Exact Match","Thunnus albacares"
"West Virginia","Vermont",NA,NA,NA,"Secure","Unknown","Trillium cernuum","https://services.itis.gov/?q=tsn:43065","whip-poor-will flower","Plants","Species","Exact Match","Trillium cernuum"
"Texas","",NA,NA,NA,"Critically Imperiled","2004-07-19","Ctenogobius claytonii","https://services.itis.gov/?q=tsn:637214","Mexican goby","Fish","Species","Exact Match","Ctenogobius claytonii"
"Texas","",NA,NA,NA,"Apparently Secure","2012-03-29","Percina apristis",NA,"Guadalupe darter","Other","Undetermined","Not Matched","Percina apristis"
"Georgia,Louisiana,Tennessee","Georgia",NA,NA,NA,"Vulnerable","Unknown","Spiranthes magnicamporum","https://services.itis.gov/?q=tsn:43468","Great Plains lady's tresses","Plants","Species","Exact Match","Spiranthes magnicamporum"
"Georgia","","Resolved Taxon","Q0LY","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0LY","Imperiled","2015-05-22","Delphinium alabamicum","https://services.itis.gov/?q=tsn:18527","Alabama larkspur","Plants","Species","Exact Match","Delphinium alabamicum"
