"statelist_2015","statelist_2005","ListingStatus","tessCode","tessURL","nsNationalStatus","nsStatusLastReviewed","scientificname","taxonomicauthorityid","commonname","taxonomicgroup","taxonomicrank","matchmethod","scientificnames_submitted"
"Virginia","Virginia","Under Review in the Candidate or Petition Process","I0JU","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0JU","Critically Imperiled","2002-08-21","Pseudanophthalmus limicola","https://services.itis.gov/?q=tsn:932004","Shenandoah cave beetle","Insects","Species","Exact Match","Pseudanophthalmus limicola"
"Texas","","Species of Concern","I07B","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I07B","Secure","2000-12-01","Eximacris superbum","https://services.itis.gov/?q=tsn:658204","Superb grasshopper","Insects","Species","Exact Match","Eximacris (Spharoagemon) superbum"
"Texas","","Species of Concern","I0F0","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=I0F0","Critically Imperiled","1997-09-01","Cicindela obsoleta neojuvenilis","https://services.itis.gov/?q=tsn:697856","Rio Grande Grassland Tiger Beetle","Insects","Subspecies","Exact Match","Cicindela obsoleta neojuvenilis"
"Georgia","","Resolved Taxon","Q0LY","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0LY","Imperiled","2015-05-22","Delphinium alabamicum","https://services.itis.gov/?q=tsn:18527","Alabama larkspur","Plants","Species","Exact Match","Delphinium alabamicum"
"Texas","","Species of Concern","Q01S","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q01S","Critically Imperiled","Unknown","Phyllanthopsis arida","https://services.itis.gov/?q=tsn:845560","Trans-Pecos maidenbush","Plants","Species","Followed Accepted TSN","Andrachne arida"
"Kentucky","Kentucky","Endangered","E086","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E086","Critically Imperiled","1996-12-05","Etheostoma chienense","https://services.itis.gov/?q=tsn:201991","relict darter","Fish","Species","Exact Match","Etheostoma chienense"
"Alabama,Mississippi","Alabama,Mississippi","Under Review in the Candidate or Petition Process","K040","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=K040","Imperiled","1999-11-03","Fallicambarus danielae","https://services.itis.gov/?q=tsn:97606","speckled burrowing crayfish","Crustaceans","Species","Exact Match","Fallicambarus danielae"
"Kentucky","Kentucky","Under Review in the Candidate or Petition Process","E0CP","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=E0CP","Imperiled","2009-05-18","Etheostoma tecumsehi","https://services.itis.gov/?q=tsn:650188","Shawnee darter","Fish","Species","Exact Match","Etheostoma tecumsehi"
"West Virginia","","Resolved Taxon","Q0Z3","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0Z3","Vulnerable","Unknown","Heuchera americana var. hispida","https://services.itis.gov/?q=tsn:528402","American alumroot","Plants","Variety","Exact Match","Heuchera americana var. hispida"
"Texas","","Resolved Taxon","Q169","https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q169","Vulnerable","Unknown","Lycium puberulum var. berberioides","https://services.itis.gov/?q=tsn:529039","downy desert-thorn","Plants","Variety","Exact Match","Lycium puberulum var. berberioides"
