"scientificname","commonname","taxonomicrank","matchmethod","taxonomicgroup","scientificnames_submitted","statelist_2005","statelist_2015","sgcn2005","sgcn2015","listingStatus","kingdom","phylum","class","order","family","genus"
"Abronia umbellata var. breviflora","pink sand-verbena","Variety","Exact Match","Plants","Abronia umbellata ssp. breviflora,Abronia umbellata var. breviflora","Oregon","California,Oregon",1,2,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia"
"Abutilon eremitopetalum","no common name","Species","Exact Match","Plants","Abutilon eremitopetalum","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"Abutilon menziesii","no common name","Species","Exact Match","Plants","Abutilon menziesii","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"Abutilon sandwicense","no common name","Species","Exact Match","Plants","Abutilon sandwicense","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"Acacia koa","koa","Species","Exact Match","Plants","Acacia koa","Hawaii","Hawaii",1,1,NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"Acacia koaia","koaia, koa oha","Species","Exact Match","Plants","Acacia koaia","Hawaii","Hawaii",1,1,"Species of Concern","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"Acaena exigua","no common name","Species","Exact Match","Plants","Acaena exigua","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"Acanthochiton viridis","green chiton, kuakulu","Unknown Taxonomic Rank","Legacy Match","Other Invertebrates","Acanthochiton viridis","Hawaii","Hawaii",1,1,NA,NA,NA,NA,NA,NA,NA
"Acari","mites and ticks","Subclass","Exact Match","Arachnids","Acari","Hawaii","Hawaii",1,1,NA,"Animalia","Arthropoda","Arachnida",NA,NA,NA
"Accipiter gentilis atricapillus","Northern Goshawk","Subspecies","Exact Match","Birds","Accipiter gentilis atricapillus,Accipiter gentilus atricapillus","Alaska,Arizona","Arizona,Oregon",2,2,NA,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"Achatinella","Oahu tree snails","Genus","Exact Match","Mollusks","Achatinella spp.","Hawaii","Hawaii",1,1,"Endangered","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinellidae","Achatinella"
"Achyranthes mutica","no common name","Species","Exact Match","Plants","Achyranthes mutica","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Achyranthes"
"Achyranthes splendens var. rotundata","no common name","Variety","Exact Match","Plants","Achyranthes splendens var. rotundata","Hawaii","Hawaii",1,1,"Endangered","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Achyranthes"
"Acipenser medirostris","green sturgeon","Species","Exact Match","Fish","Acipenser medirostris,Acipenser medirostris 36,Acipenser medirostris 37","Alaska,California,Oregon,Washington","California,Oregon,Washington",4,3,"Threatened","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser transmontanus","White Sturgeon","Species","Exact Match","Fish","Acipenser transmontanus,Acipenser transmontanus 1,Acipenser transmontanus 2,Acipenser transmontanus pop.2","Alaska,California,Idaho,Montana","California,Idaho,Montana,Oregon,Washington",4,5,"Endangered","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser"
"Acrocephalus familiaris kingi","Nihoa millerbird","Subspecies","Exact Match","Birds","Acrocephalus familiaris kingi","Hawaii","Hawaii",1,1,"Endangered","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus"
"Acrocephalus luscinius","Saipan Reed-warbler","Species","Fuzzy Match","Birds","Acrocephalus luscinia","Northern Mariana Islands","Northern Mariana Islands",1,1,"Endangered","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus"
"Acrochaetium dotyi","No Common Name","Species","Exact Match","Other","Acrochaetium dotyi","Hawaii","Hawaii",1,1,NA,"Plantae","Rhodophyta","Florideophyceae",NA,"Acrochaetiaceae","Acrochaetium"
"Acrolophitus pulchellus","Idaho Point-headed Grasshopper","Species","Exact Match","Insects","Acrolophitus pulchellus","Idaho","Idaho",1,1,"Species of Concern","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Acrolophitus"
"Acromycter alcocki","no common name","Species","Exact Match","Fish","Acromycter alcocki","Hawaii","Hawaii",1,1,NA,"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Acromycter"
"Acropora cytherea","Table Coral","Species","Exact Match","Other Invertebrates","Acropora cytherea","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora gemmifera","No Common Name","Species","Exact Match","Other Invertebrates","Acropora gemmifera","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora globiceps","Acropora globiceps Coral","Species","Exact Match","Other Invertebrates","Acropora globiceps","","Northern Mariana Islands",0,1,"Threatened","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora humilis","finger staghorn coral","Species","Exact Match","Other Invertebrates","Acropora humilis","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora nasuta","Branching Staghorn Coral","Species","Exact Match","Other Invertebrates","Acropora nasuta","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora paniculata","Fuzzy Table Coral","Species","Exact Match","Other Invertebrates","Acropora paniculata","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora retusa","Acropora retusa Coral","Species","Exact Match","Other Invertebrates","Acropora retusa","","Northern Mariana Islands",0,1,"Threatened","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Acropora valida","Bushy Staghorn Coral","Species","Exact Match","Other Invertebrates","Acropora valida","Hawaii","Hawaii",1,1,NA,"Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora"
"Actinemys marmorata","northwestern pond turtle","Species","Fuzzy Match","Reptiles","Actinemys (Clemmys) marmorata,Actinemys marmorata,Actinemys marmorata marmorata,Clemmys marmorata,Emys (=Clemmys) marmorata","California,Nevada,Washington","California,Nevada,Oregon,Washington",3,4,"Under Review in the Candidate or Petition Process","Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys"
"Acuclavella","Harvestman Species Group","Genus","Exact Match","Arachnids","Acuclavella spp.","","Idaho",0,1,NA,"Animalia","Arthropoda","Arachnida","Opiliones","Ischyropsalididae","Acuclavella"
